video_id,platform,creator_id,category,duration_seconds,upload_date,views,impressions,ctr,likes,comments,shares,avg_watch_time_seconds,completion_rate,followers_at_upload,engagement_rate,tags_count,audio_popular,caption_length,contains_hashtags,is_trending
vid_00001,Instagram,creator_0052,Fitness,29,2024-07-09,878,49325,0.0178,7,0,0,6.1,0.21,0,0.0001,2,False,5,True,False
vid_00002,Instagram,creator_1117,Education,25,2025-04-03,112,7516,0.0149,1,0,1,12.9,0.516,466,0.0003,4,False,67,True,False
vid_00003,TikTok,creator_1035,News,14,2024-01-21,87,1875,0.0464,1,0,0,2.1,0.15,0,0.0005,1,False,99,True,False
vid_00004,YouTube Shorts,creator_0860,Beauty,33,2024-12-14,9604,558372,0.0172,143,2,2,11.8,0.358,24028,0.0003,2,False,89,False,False
vid_00005,TikTok,creator_0327,Gaming,34,2024-09-21,1855,72460,0.0256,12,1,0,16.4,0.482,7398,0.0002,3,False,76,True,False
vid_00006,YouTube Shorts,creator_0210,Education,5,2024-10-22,1051,71986,0.0146,12,0,1,2.9,0.58,1478,0.0002,1,True,37,False,False
vid_00007,Instagram,creator_0089,DIY,9,2025-02-20,1223,113240,0.0108,7,1,0,1.0,0.111,3656,0.0001,5,False,91,False,False
vid_00008,TikTok,creator_0601,News,27,2024-10-07,349,40114,0.0087,5,2,0,5.2,0.193,528,0.0002,3,False,50,True,False
vid_00009,TikTok,creator_0467,Fitness,15,2024-03-02,5236,189710,0.0276,125,1,3,8.1,0.54,794,0.0007,3,False,14,False,False
vid_00010,TikTok,creator_0929,Cooking,30,2024-05-06,2495,82615,0.0302,18,1,0,3.6,0.12,6703,0.0002,2,False,5,True,False
vid_00011,TikTok,creator_0147,News,40,2025-05-08,1347,94195,0.0143,47,0,0,7.0,0.175,0,0.0005,1,False,94,True,False
vid_00012,TikTok,creator_0778,Fitness,42,2025-05-12,2096,32098,0.0653,4,1,0,3.8,0.09,5262,0.0002,2,False,5,True,False
